datetime,index,sv,rv
2006-05-01,DJIA,0.5016880546283481,0.006356099432828282
2006-05-02,CAC 40,0.7075943280684406,0.005779273310719956
2006-05-02,DAX,0.6838710037133267,0.004732863826479692
2006-05-02,DJIA,0.7129251302613367,0.00425440947723653
2006-05-02,FTSE 100,0.7217441193344806,0.006403124237432849
2006-05-03,CAC 40,0.7988968220127555,0.006363961030678928
2006-05-03,DAX,0.7540116194787958,0.008148619514985345
2006-05-03,DJIA,0.5721004131726777,0.003768288736283353
2006-05-03,FTSE 100,1.1259208261617897,0.0060745370193949775
2006-05-04,CAC 40,0.5249893401798108,0.006700746227100382
2006-05-04,DAX,0.7715467734201633,0.007694153624668539
2006-05-04,DJIA,0.7745359439876249,0.0043243496620879295
2006-05-04,FTSE 100,0.9527022375215144,0.005513619500836089
2006-05-05,CAC 40,0.53640215192285,0.005039841267341661
2006-05-05,DAX,1.0170389285993064,0.0061237243569579455
2006-05-05,DJIA,0.6865204958072132,0.00697137002317335
2006-05-05,FTSE 100,0.8949627079747561,0.0043243496620879295
2006-05-08,CAC 40,0.53640215192285,0.005157518783291051
2006-05-08,DAX,0.9118280049511022,0.005403702434442518
2006-05-08,DJIA,0.8185436680778312,0.002687005768508881
2006-05-08,FTSE 100,1.010441767068273,0.008087026647662292
2006-05-09,CAC 40,0.6961815163254013,0.005621387729022078
2006-05-09,DAX,0.8767576970683676,0.005224940191045253
2006-05-09,DJIA,0.7745359439876249,0.0021656407827707717
2006-05-09,FTSE 100,0.9238324727481352,0.005128352561983234
2006-05-10,CAC 40,0.6619430810962831,0.004764451699828638
2006-05-10,DAX,0.8241522352442655,0.0043243496620879295
2006-05-10,DJIA,0.8097421232597899,0.0041109609582188926
2006-05-10,FTSE 100,0.8949627079747561,0.00458257569495584
2006-05-11,CAC 40,0.9929146216444248,0.00648074069840786
2006-05-11,DAX,0.9293631588924696,0.00781664889834512
2006-05-11,DJIA,0.6337112268989661,0.005513619500836089
2006-05-11,FTSE 100,0.7506138841078599,0.0060083275543199215
2006-05-12,CAC 40,0.6847687045823618,0.010542058622489251
2006-05-12,DAX,1.104714698306143,0.011389381019177471
2006-05-12,DJIA,0.6865204958072132,0.006949820141557621
2006-05-12,FTSE 100,1.0681812966150317,0.010108659653979848
2006-05-15,CAC 40,0.6961815163254013,0.012529724657788774
2006-05-15,DAX,1.3326716995439187,0.014492756811593854
2006-05-15,DJIA,0.5280926890824718,0.007035623639735144
2006-05-15,FTSE 100,2.8869764773379223,0.0171516763029157
2006-05-16,CAC 40,0.8103096337557949,0.010355578206937551
2006-05-16,DAX,1.4378826231921231,0.010726602444390302
2006-05-16,DJIA,0.8361467577139136,0.004722287581247039
2006-05-16,FTSE 100,1.8765347102696492,0.007162401831787994
2006-05-17,CAC 40,0.6391174576102044,0.013901115063188276
2006-05-17,DAX,1.402812315309388,0.015091255746292288
2006-05-17,DJIA,0.8009405784417487,0.009777525249264256
2006-05-17,FTSE 100,1.7610556511761326,0.012960324070022324
2006-05-18,CAC 40,1.1412811743039364,0.01760224417510449
2006-05-18,DAX,1.7535153941367352,0.02096039121772301
2006-05-18,DJIA,0.8801544818041194,0.0075033325929216264
2006-05-18,FTSE 100,2.5694090648307513,0.017780607413696532
2006-05-19,CAC 40,0.4679252814646139,0.011981068399771366
2006-05-19,DAX,1.350206853485286,0.010966767983321248
2006-05-19,DJIA,0.6249096820809249,0.008074651695274541
2006-05-19,FTSE 100,1.674446356855995,0.009386160024205852
2006-05-22,CAC 40,0.970088998158346,0.013779296063297284
2006-05-22,DAX,1.648304470488531,0.015990121950754468
2006-05-22,DJIA,0.7833374888056663,0.008677557259966655
2006-05-22,FTSE 100,2.107492828456684,0.01758283253631223
2006-05-23,CAC 40,0.9244377511861884,0.011654870226647742
2006-05-23,DAX,1.6132341626057962,0.012347428882160042
2006-05-23,DJIA,0.6337112268989661,0.008854377448471463
2006-05-23,FTSE 100,2.0497532989099247,0.0135311122972208
2006-05-24,CAC 40,0.8673736924709916,0.012163511006284327
2006-05-24,DAX,1.2274607758957143,0.011550411248089828
2006-05-24,DJIA,0.6689174061711308,0.01116243700990066
2006-05-24,FTSE 100,1.9920137693631663,0.014336352395222431
2006-05-25,CAC 40,0.4108612227494171,0.012022645299600251
2006-05-25,DAX,0.40330854065144905,0.011068242859641272
2006-05-25,DJIA,0.6425127717170073,0.0058480766068853786
2006-05-25,FTSE 100,1.299139414802065,0.011076732370153212
2006-05-26,CAC 40,0.7075943280684406,0.010764850207968527
2006-05-26,DAX,0.9819686207165716,0.011801101643490745
2006-05-26,DJIA,0.6161081372628836,0.003987480407475377
2006-05-26,FTSE 100,1.5589672977624782,0.012224729035851879
2006-05-29,CAC 40,0.6733558928393225,0.0035355339059327377
2006-05-29,DAX,0.946898312833837,0.004159326868617084
2006-05-30,CAC 40,1.0728043038457,0.011012220484534443
2006-05-30,DAX,0.9293631588924696,0.011943701268869714
2006-05-30,DJIA,0.6865204958072132,0.0071063352017759485
2006-05-30,FTSE 100,1.0681812966150317,0.01074611557726791
2006-05-31,CAC 40,1.1184555508178575,0.014077428742494137
2006-05-31,DAX,1.0871795443647758,0.016507634597361306
2006-05-31,DJIA,0.6337112268989661,0.00792464510246358
2006-05-31,FTSE 100,1.5589672977624782,0.01329661611087573
2006-06-01,CAC 40,0.8702169999052403,0.012990227095782429
2006-06-01,DAX,1.1421382581184685,0.013529929785479304
2006-06-01,DJIA,0.6836783772857545,0.005138093031466053
2006-06-01,FTSE 100,1.4985372689848468,0.010744068130833869
2006-06-02,CAC 40,1.1086326163176343,0.011579939550792137
2006-06-02,DAX,1.0998368411511177,0.013136666243762151
2006-06-02,DJIA,0.6462165483933844,0.007375635565834309
2006-06-02,FTSE 100,1.2550249627748091,0.010090242811746405
2006-06-05,CAC 40,0.5245143561072679,0.008318653737234168
2006-06-05,DAX,0.1974066125143032,0.01152558024569696
2006-06-05,DJIA,0.7117747489550319,0.008876936408468858
2006-06-05,FTSE 100,0.8991223613909082,0.006220932405998316
2006-06-06,CAC 40,0.5125935752866484,0.009964938534682487
2006-06-06,DAX,0.9447316456041652,0.012395684733002852
2006-06-06,DJIA,0.9084493506399752,0.009412757300600072
2006-06-06,FTSE 100,1.1051712358763246,0.012062628237660316
2006-06-07,CAC 40,0.7390884108784231,0.01255997611462697
2006-06-07,DAX,1.1985401474082693,0.014088151049729696
2006-06-07,DJIA,0.7679674922935873,0.007556454194925025
2006-06-07,FTSE 100,1.536000700709468,0.010655702698555359
2006-06-08,CAC 40,1.1920780820619727,0.013916393210886216
2006-06-08,DAX,1.4100472322450233,0.014502482546102237
2006-06-08,DJIA,0.88971843619379,0.012535748880701143
2006-06-08,FTSE 100,1.5921958482963998,0.020862885706440515
2006-06-09,CAC 40,1.1205533971382544,0.00920869154657707
2006-06-09,DAX,1.3113439259878712,0.009767292357659824
2006-06-09,DJIA,0.7586020350704947,0.007563068160475614
2006-06-09,FTSE 100,0.8241954979416658,0.0145353706523088
2006-06-12,CAC 40,1.0251871505732968,0.009005553841935542
2006-06-12,DAX,1.3818462876001223,0.009874208829065749
2006-06-12,DJIA,0.5993892622779218,0.007063993204979743
2006-06-12,FTSE 100,1.3299518262240515,0.0066332495807108
2006-06-13,CAC 40,0.7629299725196625,0.010697523077797028
2006-06-13,DAX,1.2549420366980704,0.013162864429902785
2006-06-13,DJIA,0.7866984067397723,0.011586241841080308
2006-06-13,FTSE 100,1.2737566786371195,0.01690266251216062
2006-06-14,CAC 40,0.8106130958021414,0.014634240670427694
2006-06-14,DAX,1.3395448706327715,0.012925710812175865
2006-06-14,DJIA,0.9365457223092528,0.009433981132056605
2006-06-14,FTSE 100,1.5172689848471574,0.012344755971666671
2006-06-15,CAC 40,1.180157301241353,0.00861974477580398
2006-06-15,DAX,1.0011335348939665,0.009214119599831554
2006-06-15,DJIA,0.8241602356321425,0.008024961059095552
2006-06-15,FTSE 100,1.4236104055356045,0.012088300128636782
2006-06-16,CAC 40,0.7986923149815218,0.012796366671833065
2006-06-16,DAX,1.1562387304409187,0.013472416264352879
2006-06-16,DJIA,0.8147947784090498,0.006058052492344384
2006-06-16,FTSE 100,1.1426346676009458,0.014813811123407778
2006-06-19,CAC 40,0.6914052875959442,0.009246621004453464
2006-06-19,DAX,1.1985401474082693,0.010615790126033954
2006-06-19,DJIA,0.7117747489550319,0.007252585745787498
2006-06-19,FTSE 100,0.8991223613909082,0.009322016949137134
2006-06-20,CAC 40,0.8702169999052403,0.008848728722251575
2006-06-20,DAX,0.9447316456041652,0.009246621004453464
2006-06-20,DJIA,0.6274856339471994,0.005958187643906493
2006-06-20,FTSE 100,1.6109275641587106,0.010342823598998484
2006-06-21,CAC 40,0.5960390410309864,0.010752767085731934
2006-06-21,DAX,0.9729325902490658,0.011143877242683536
2006-06-21,DJIA,0.6836783772857545,0.006220932405998316
2006-06-21,FTSE 100,1.1051712358763246,0.00788035532193822
2006-06-22,CAC 40,0.6675637259547048,0.008567379996241558
2006-06-22,DAX,1.0011335348939665,0.009929753269845128
2006-06-22,DJIA,0.6181201767241068,0.005612486080160913
2006-06-22,FTSE 100,1.8731715862310587,0.011940854240798687
2006-06-23,CAC 40,0.6914052875959442,0.00777174369109018
2006-06-23,DAX,0.6627221991551608,0.008142481194328912
2006-06-23,DJIA,0.4870037756008115,0.007791020472312981
2006-06-23,FTSE 100,1.1800980993255672,0.00650384501660364
2006-06-26,CAC 40,0.6556429451340849,0.005522680508593629
2006-06-26,DAX,0.9729325902490658,0.00618869937870632
2006-06-26,DJIA,0.5806583478317366,0.004888762624632128
2006-06-26,FTSE 100,0.8803906455285976,0.005495452665613634
2006-06-27,CAC 40,0.5364351369278877,0.008049844718999244
2006-06-27,DAX,0.7755259777347625,0.010183761584012069
2006-06-27,DJIA,0.5244656044931816,0.005761944116355174
2006-06-27,FTSE 100,0.95531750897784,0.008526429498916882
2006-06-28,CAC 40,0.6198806026722259,0.006767569726275452
2006-06-28,DAX,0.7755259777347625,0.008312640976248162
2006-06-28,DJIA,0.4214455750391638,0.005049752469181039
2006-06-28,FTSE 100,1.1613663834632564,0.006371812928829597
2006-06-29,CAC 40,0.5602766985691272,0.00654217089351845
2006-06-29,DAX,0.6345212545102603,0.008449852069711043
2006-06-29,DJIA,0.7024092917319396,0.00834865258589672
2006-06-29,FTSE 100,1.3299518262240515,0.009731392500562291
2006-06-30,CAC 40,0.8821377807258598,0.008228000972289684
2006-06-30,DAX,0.7473250330898622,0.010613576211626315
2006-06-30,DJIA,0.7679674922935873,0.0047116875957558995
2006-06-30,FTSE 100,1.404878689673294,0.012259730829019046
2006-07-03,CAC 40,0.5482838888613739,0.0050695167422546315
2006-07-03,DAX,0.7515030316195684,0.005029910535983717
2006-07-03,DJIA,0.6774715146843893,0.005138093031466053
2006-07-03,FTSE 100,1.1719359534206697,0.005540758070878027
2006-07-04,CAC 40,0.8517981844810628,0.005338539126015654
2006-07-04,DAX,0.7710225908824143,0.004806245936279167
2006-07-04,FTSE 100,1.0603230054758437,0.004171330722922842
2006-07-05,CAC 40,0.5287023214020391,0.0058137767414994535
2006-07-05,DAX,0.829581268670952,0.006244997998398397
2006-07-05,DJIA,0.5402620939888167,0.007085195833567341
2006-07-05,FTSE 100,1.1300810979413598,0.005958187643906493
2006-07-06,CAC 40,0.7049364285360521,0.006833739825307955
2006-07-06,DAX,0.6831845741996077,0.00843208159353312
2006-07-06,DJIA,0.608866804336603,0.005412947441089743
2006-07-06,FTSE 100,1.2975005198585985,0.007113367697511495
2006-07-07,CAC 40,0.3035142956196891,0.006618156843109718
2006-07-07,DAX,0.9759779631422966,0.009772410142846029
2006-07-07,DJIA,0.7203494586517556,0.008312640976248162
2006-07-07,FTSE 100,0.8650003465723988,0.00570087712549569
2006-07-10,CAC 40,0.3818405654570282,0.007422937423958255
2006-07-10,DAX,0.8393410483023752,0.007563068160475614
2006-07-10,DJIA,0.5231109164018701,0.006284902544988267
2006-07-10,FTSE 100,1.3533069938310112,0.004969909455915671
2006-07-11,CAC 40,0.8713797519403977,0.006172519744804385
2006-07-11,DAX,0.7417432519881454,0.008372574275573792
2006-07-11,DJIA,0.6260179819235495,0.005549774770204643
2006-07-11,FTSE 100,1.0742746239689471,0.006041522986797286
2006-07-12,CAC 40,0.5384931051317065,0.0060083275543199215
2006-07-12,DAX,0.9271790649851818,0.00758946638440411
2006-07-12,DJIA,0.5917156267496564,0.005291502622129182
2006-07-12,FTSE 100,1.1858875719137727,0.006131883886702357
2006-07-13,CAC 40,0.8224258332920606,0.009715966241192895
2006-07-13,DAX,0.6441454556739158,0.011092159393012706
2006-07-13,DJIA,0.7718029914125952,0.008642916174532759
2006-07-13,FTSE 100,1.1300810979413598,0.010063001540296015
2006-07-14,CAC 40,0.5580746725910413,0.009305912099305471
2006-07-14,DAX,0.7319834723567225,0.012637760877623852
2006-07-14,DJIA,0.6688959258909158,0.008142481194328912
2006-07-14,FTSE 100,1.1021778609551534,0.00957078889120432
2006-07-17,CAC 40,0.5287023214020391,0.011926399288972343
2006-07-17,DAX,0.878380166828067,0.011833089199359563
2006-07-17,DJIA,0.6517447483039693,0.008312640976248162
